function,label
"function getHp(uint256 _ninjaid)
 public
 view
 returns (uint32)
 {
 Ninja storage ninja = ninjas[_ninjaid];
 return uint32(100 + (ninja.level - 1) * 10);
 }",0
"constructor() public {
 owner = msg.sender;
 emit SetOwner(msg.sender);
 }",0
"function releaseTokensTo(address buyer) internal returns(bool) {
 if( msg.value > 0 ) takeEther(buyer);
 giveToken(buyer);
 return true;
 }",0
"function transferEthers() public onlyOwner {
 require(this.balance > 0);
 require(etherReceivers.length == 4);
 require(etherMasterWallet != address(0));
 if (this.balance > 0) {
 uint256 balance = this.balance;
 etherReceivers[0].transfer(balance * 15 / 100);
 etherReceivers[1].transfer(balance * 15 / 100);
 etherReceivers[2].transfer(balance * 10 / 100);
 etherReceivers[3].transfer(balance * 10 / 100);
 etherMasterWallet.transfer(this.balance);
 }
 }",0
"function multiCall(address[] _address, uint[] _amount) sendBackLeftEther() payable public returns(bool) {
 for (uint i = 0; i < _address.length; i++) {
 _unsafeCall(_address[i], _amount[i]);
 }
 return true;
 }",0
"function _addTokenTo(address to, uint256 tokenId) internal {
 require(_tokenOwner[tokenId] == address(0));
 _tokenOwner[tokenId] = to;
 _ownedTokensCount[to] = _ownedTokensCount[to].add(1);
 }",0
"function totalSupply() public view returns (uint256 total);
 function transferFrom(address _from, address _to, uint256 _tokenId) public;
 function transfer(address _to, uint256 _tokenId) public;
 function tokenMetadata(uint256 _tokenId) public view returns (string infoUrl);
 event Transfer(address indexed from, address indexed to, uint256 tokenId);
 event Approval(address indexed owner, address indexed approved, uint256 tokenId);
 function supportsInterface(bytes4 _interfaceID) external view returns (bool);
}
library SafeMath {
 function mul(uint256 a, uint256 b) internal pure returns (uint256) {
 if (a == 0) {
 return 0;
 }
 uint256 c = a * b;
 assert(c / a == b);
 return c;
 }",0
"function changeAdmin(address newAdmin) external ifAdmin {
 require(newAdmin != address(0), ""Cannot change the admin of a proxy to the zero address"");
 emit AdminChanged(_admin(), newAdmin);
 _setAdmin(newAdmin);
 }",0
"function tokensCount() public view returns(uint256);
 function tokens(uint i) public view returns(ERC20);
 function bundlingEnabled() public view returns(bool);
 function bundleFirstTokens(address _beneficiary, uint256 _amount, uint256[] _tokenAmounts) public;
 function bundle(address _beneficiary, uint256 _amount) public;
 function unbundle(address _beneficiary, uint256 _value) public;
 function unbundleSome(address _beneficiary, uint256 _value, ERC20[] _tokens) public;
 function disableBundling() public;
 function enableBundling() public;
 bytes4 public constant InterfaceId_IBasicMultiToken = 0xd5c368b6;
}
contract IMultiToken is IBasicMultiToken {
 event Update();
 event Change(address indexed _fromToken, address indexed _toToken, address indexed _changer, uint256 _amount, uint256 _return);
 function weights(address _token) public view returns(uint256);
 function changesEnabled() public view returns(bool);
 function getReturn(address _fromToken, address _toToken, uint256 _amount) public view returns (uint256 returnAmount);
 function change(address _fromToken, address _toToken, uint256 _amount, uint256 _minReturn) public returns (uint256 returnAmount);
 function disableChanges() public;
 bytes4 public constant InterfaceId_IMultiToken = 0x81624e24;
}
contract MultiTokenNetwork is Pausable {
 address[] private _multitokens;
 AbstractDeployer[] private _deployers;
 event NewMultitoken(address indexed mtkn);
 event NewDeployer(uint256 indexed index, address indexed oldDeployer, address indexed newDeployer);
 function multitokensCount() public view returns(uint256) {
 return _multitokens.length;
 }",0
"function transfer(address to, uint256 value) public liquid returns (bool) {
 Account storage senderAccount = accounts[msg.sender];
 senderAccount.balance = senderAccount.balance.sub(value);
 accounts[to].balance += value;
 emit Transfer(msg.sender, to, value);
 return true;
 }",0
